,Tweet_ID,Tweet_Text,Emojis
0,1386502030756392964,Halle Berry's haircut reminds me of someone. HELP ME OUT #Oscars,:joy: :thumbsup: :skull: :heart_eyes: :wink:
1,1386501823104651264,‘Soul’ has won the award for Best Animated Feature Film at the #Oscars. https://t.co/8hVpTq1Mh6,:clap: :thumbsup: :facepunch: :wink: :raised_hands:
2,1386501718431649796,love halle berry but who told her this hair was good djaksbsjsj #Oscars https://t.co/SSlaaIwHk4,:wink: :stuck_out_tongue_winking_eye: :joy: :heart_eyes: :information_desk_person:
3,1386501637225783298,#Oscars 2021 winners: Live updates as awards results roll in https://t.co/JZpNs7Jmtj https://t.co/uxcUyKX6uR,:wink: :stuck_out_tongue_winking_eye: :thumbsup: :joy: :angry:
4,1386501601100238850,They seem pretty angry to be nominated #Oscars https://t.co/OBRhcIEfzi,:wink: :joy: :flushed: :neutral_face: :smile:
5,1386501593185456130,It's official! #Oscars https://t.co/s5Msc9znsu,:thumbsup: :wink: :clap: :joy: :smile:
6,1386501545156562949,One more time for Brad Pitt's MAN 😍 BUN 😍 #Oscars https://t.co/zdiabreDnC https://t.co/1PJmUFIfWN,:wink: :stuck_out_tongue_winking_eye: :thumbsup: :confused: :angry:
7,1386501540748402692,"Okay y’all, WHAT happened at the commercial break?!?!? 😑  #Oscars https://t.co/4CW0Rx7T09",:joy: :flushed: :wink: :stuck_out_tongue_winking_eye: :neutral_face:
8,1386501483210944515,Youn Yuh-jung’s #Oscars acceptance speech for the Academy Award for Best Supporting Actress in Minari 🌱 https://t.co/5xFeU35183,:thumbsup: :clap: :smile: :blush: :heart:
9,1386501420493545473,Should I watch Mank? #Oscars,:wink: :thumbsup: :smile: :stuck_out_tongue_winking_eye: :confused:
10,1386501398536212480,MANK wins Best Production Design at the #Oscars https://t.co/y1Q0XABuY2,:thumbsup: :clap: :smile: :joy: :wink:
11,1386501283457216514,Best Supporting Actress Winner Yuh-Jung Youn's acceptance speech was hysterical. Watch the full thing: https://t.co/LsffGKAhao #Oscars https://t.co/a23mys9amE,:clap: :thumbsup: :heart: :smile: :sparkling_heart:
12,1386501244588593158,Best Supporting Actress Winner Yuh-Jung Youn's acceptance speech was hysterical. Watch the full thing: https://t.co/sdgeoBK7lX #Oscars https://t.co/AOaRzPqT1k,:clap: :thumbsup: :smile: :heart: :sparkling_heart:
13,1386501171494412288,Halle's bob. Yay or nay? #Oscars #Oscars2021,:joy: :information_desk_person: :thumbsup: :smile: :wink:
14,1386501115957612545,Halle Berry... girl... that hair ain’t it 😩 #Oscars #Oscars2021 https://t.co/atUs0Fe3Gi,
15,1386501074643718145,What the hell was that?  Why was that lady staring into the camera like that? #Oscars,
16,1386500925431373829,"Damn, Halle Berry's dress 🔥🔥🔥🔥  #Oscars",:wink: :heart_eyes: :information_desk_person: :confounded: :confused:
17,1386500901427453955,They keep playing this Handmaid’s Tale commercial and it’s giving me agita... #Oscars,:wink: :smile: :stuck_out_tongue_winking_eye: :thumbsup: :grimacing:
18,1386500862156156928,The watch credits are rolling in for the #oscars. Would you like to know who wore Omega? Girard-Perregaux? Montblanc? Do you care?,:wink: :stuck_out_tongue_winking_eye: :thumbsup: :confused: :no_good:
19,1386500775728267264,"“Mr. Brad Pitt, finally. Nice to meet you."" - Yuh-Jung Youn 🥺    Read the full #Oscars winner’s list: https://t.co/Udr9FyooKe https://t.co/nNcoKam5by",:heart_eyes: :sparkling_heart: :heart: :wink: :thumbsup:
20,1386500735739711489,"Am I wrong, or has this thus far been perfectly enjoyable and polished awards show? I really like the intimacy and the anecdotes while each presenter is getting their own mini-hosting moment. It's just a solid #Oscars telecast.",:wink: :confused: :smile: :thumbsup: :disappointed:
21,1386500612448079872,"Congrats to the whole team! I worked a year and a half on Soul (Terry, Curley, the counselors, and more) and this is an immense honor! #PixarSoul #Oscars https://t.co/kLcuP2ZQ1i",:thumbsup: :clap: :smile: :blue_heart: :blush:
22,1386500389197938691,The producers of the #Oscars have truly  captured the pure joy and excitement of spending 3 hours in a train station.,:wink: :stuck_out_tongue_winking_eye: :thumbsup: :smile: :joy:
23,1386500306482176000,"Yuh-Jung Youn became the first Korean woman in #Oscars history to win best supporting actress. Youn triumphed as the grandmother in Lee Isaac Chung’s ""Minari."" https://t.co/s87WcxlZ5b",:thumbsup: :wink: :clap: :smile: :confused:
24,1386500269035376643,Inject Brad Pitt and his lil man bun into my veins #Oscars https://t.co/SPqXb51ZMG,:wink: :stuck_out_tongue_winking_eye: :thumbsup: :joy: :information_desk_person:
25,1386500251415089158,Yuh-Jung Youn wins the award for Best Supporting Actress for “Minari” at the 2021 #Oscars https://t.co/g3P46mG6j1,:joy: :thumbsup: :wink: :eyes: :neutral_face:
26,1386500213863505924,The diversity in the #Oscars winners tonight is amazing. I feel like Tucker’s gonna be in FULL JOKER LAUGH “replacement theory” freakout mode tomorrow though... 👀😅,:wink: :thumbsup: :stuck_out_tongue_winking_eye: :smile: :joy:
27,1386500152601440256,Invincible secret identity reveal. #Oscars https://t.co/E1skhpC5iR,
28,1386500149761904643,축하합니다!!! Congratulations to Yoon Yuh-Jung for being the first Korean to win #Oscars best supporting actress! @MinariMovie https://t.co/k21FVMrXEC,:clap: :thumbsup: :smile: :muscle: :blue_heart:
29,1386500067251601410,"""Mr. Pitt, finally, nice to meet you. Where were you while we were filming?"" Shoot your shot, Yuh-Jung Youn! #Oscars https://t.co/8Lh9iTnG3r",:joy: :wink: :skull: :stuck_out_tongue_winking_eye: :expressionless:
30,1386499943981064196,"The key to completing any red carpet look is the shoe selection. Right, @questlove? #Oscars https://t.co/UjkE2Prsjc",:wink: :stuck_out_tongue_winking_eye: :joy: :thumbsup: :smile:
